split,neg_type,strategy,llm_model,backbone,ratio,acc_at_1,acc_at_5,mrr,n_train_match,n_hard_neg,training_time_s,eval_time_s,timestamp
train_10pct,component_swap,zero_shot,gpt-4o-mini,distilbert-base-uncased,1,0.0428,0.5062,0.2461,698,693,94.1,2.67,2026-04-22T09:30:22.401149Z
train_10pct,component_swap,few_shot,gpt-4o-mini,distilbert-base-uncased,1,0.0402,0.5191,0.2464,698,694,56.4,2.63,2026-04-22T09:32:07.810791Z
train_10pct,component_swap,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,1,0.0444,0.5175,0.2489,698,697,53.7,2.65,2026-04-22T09:33:46.715894Z
train_10pct,phonetic,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,1,0.0433,0.5212,0.2477,698,698,58.6,2.7,2026-04-22T10:22:45.921220Z
train_10pct,abbreviation,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,1,0.0428,0.5088,0.2455,698,698,59.0,2.67,2026-04-22T10:58:20.393749Z
train_10pct,semantic_distractor,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,1,0.0439,0.5098,0.2488,698,697,57.5,2.7,2026-04-22T11:43:47.021103Z
train_10pct,component_swap,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,4,0.0444,0.5542,0.2596,698,2792,72.3,2.68,2026-04-22T18:03:09.408380Z
train_10pct,component_swap,chain_of_thought,gpt-4o-mini,distilbert-base-uncased,0,0.0433,0.5108,0.2486,698,0,59.3,2.62,2026-04-22T18:04:57.140351Z
train_10pct,component_swap,chain_of_thought,gpt-4o-mini,bert-base-uncased,1,0.0423,0.5139,0.2493,698,698,67.7,3.39,2026-04-22T18:50:13.612900Z
train_10pct,component_swap,chain_of_thought,gpt-4o-mini,msmarco-distilbert-base-v4,1,0.0428,0.5335,0.2521,698,698,64.8,2.79,2026-04-22T18:52:08.016929Z
